,Seat,ConstituencyTitle,CandidateName,Party,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout
0,Peshawar-1,NA-1,Abdullah Jan,Independent,313,88325,629,88913,387083,22.97 %
1,Peshawar-1,NA-1,Ashoni Kumar,Independent,156,88325,629,88913,387083,22.97 %
2,Peshawar-1,NA-1,Aurangzeb,Independent,261,88325,629,88913,387083,22.97 %
3,Peshawar-1,NA-1,Ayub Shah,Pakistan Peoples Party Parliamentarians,37682,88325,629,88913,387083,22.97 %
4,Peshawar-1,NA-1,Fakhri Alam Khan  Paracha,Independent,184,88325,629,88913,387083,22.97 %
5,Peshawar-1,NA-1,Haji Abdul Jalil Jan,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,4103,88325,629,88913,387083,22.97 %
6,Peshawar-1,NA-1,Haji Ghulam Ahmad Bilour,Awami National Party,44210,88325,629,88913,387083,22.97 %
7,Peshawar-1,NA-1,Jawad Aziz,Awami Himayat Tehreek Pakistan,247,88325,629,88913,387083,22.97 %
8,Peshawar-1,NA-1,Kakagi Muhammad Zahoor,Pakistan Peoples Party (Shaheed Bhutto),232,88325,629,88913,387083,22.97 %
9,Peshawar-1,NA-1,Khawaja Yawar Naseer,Independent,54,88325,629,88913,387083,22.97 %
10,Peshawar-1,NA-1,Mian Sultan Mohammad,Independent,71,88325,629,88913,387083,22.97 %
11,Peshawar-1,NA-1,Muhammad Zunbair Anjum,Muttahida Qaumi Movement Pakistan,151,88325,629,88913,387083,22.97 %
12,Peshawar-1,NA-1,SaifUllah,Independent,661,88325,629,88913,387083,22.97 %
13,Peshawar-II,NA-2,Arbab Najeeb Ullah Khan  Khalil,Awami National Party,23992,76293,2003,77892,314904,24.73 %
14,Peshawar-II,NA-2,Asif Ullah Qasmi,Independent,5326,76293,2003,77892,314904,24.73 %
15,Peshawar-II,NA-2,Dr. Arbab Alamgir Khan,Pakistan Peoples Party Parliamentarians,34443,76293,2003,77892,314904,24.73 %
16,Peshawar-II,NA-2,Dr. Taj Muhammad Khan,Independent,210,76293,2003,77892,314904,24.73 %
17,Peshawar-II,NA-2,Haji Aftab Muhammad,Independent,139,76293,2003,77892,314904,24.73 %
18,Peshawar-II,NA-2,Malik Najab Gul Khalil Adv:,Pakistan Muslim League,1560,76293,2003,77892,314904,24.73 %
19,Peshawar-II,NA-2,Maulana Rehmat Ullah,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,7346,76293,2003,77892,314904,24.73 %
20,Peshawar-II,NA-2,Muhammad Atteq ur Rehman,Independent,174,76293,2003,77892,314904,24.73 %
21,Peshawar-II,NA-2,Syed Zahoor  Shah,Pakistan Muslim League (N),3103,76293,2003,77892,314904,24.73 %
22,Peshawar-III,NA-3,Ajmal Khan Afridi,Independent,85,90895,2566,93241,257192,36.25 %
23,Peshawar-III,NA-3,Arbab Roohullah Khan,Independent,342,90895,2566,93241,257192,36.25 %
24,Peshawar-III,NA-3,Aziz ud Din,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,17383,90895,2566,93241,257192,36.25 %
25,Peshawar-III,NA-3,Engineer Iqbal Zafar Jaghra,Pakistan Muslim League (N),12096,90895,2566,93241,257192,36.25 %
26,Peshawar-III,NA-3,Muhammad Hashim Babar,Awami National Party,26201,90895,2566,93241,257192,36.25 %
