,Seat,ConstituencyTitle,CandidateName,Party,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout,
0,PESHAWAR-I,NA-1,Aamir Shehzad Hashmi,Mustaqbil Pakistan,77,145924,2103,146044,320578,46.18%,
1,PESHAWAR-I,NA-1,Akram Khan,Independent,182,145924,2103,146044,320578,46.18 %,
2,PESHAWAR-I,NA-1,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468,145924,2103,146044,320578,46.18 %,
3,PESHAWAR-I,NA-1,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454,145924,2103,146044,320578,46.18 %,
4,PESHAWAR-I,NA-1,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117,145924,2103,146044,320578,46.18 %,
5,PESHAWAR-I,NA-1,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738,145924,2103,146044,320578,46.18 %,
6,PESHAWAR-I,NA-1,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827,145924,2103,146044,320578,46.18%,
7,PESHAWAR-I,NA-1,Hidayatullah Khan Afridi Advocate,Independent,61,145924,2103,146044,320578,46.18 %,
8,PESHAWAR-I,NA-1,Imran Khan,Pakistan Tehreek-e-Insaf,90500,145924,2103,146044,320578,46.18 %,
9,PESHAWAR-I,NA-1,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694,145924,2103,146044,320578,46.18 %,
10,PESHAWAR-I,NA-1,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70,145924,2103,146044,320578,46.18 %,
11,PESHAWAR-I,NA-1,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42,145924,2103,146044,320578,46.18 %,
12,PESHAWAR-I,NA-1,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232,145924,2103,146044,320578,46.18 %,
13,PESHAWAR-I,NA-1,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121,145924,2103,146044,320578,46.18 %,
14,PESHAWAR-I,NA-1,Pir Abdur Rehman,Independent,265,145924,2103,146044,320578,46.18 %,
15,PESHAWAR-I,NA-1,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051,145924,2103,146044,320578,46.18 %,
16,PESHAWAR-I,NA-1,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan  (Noorani),100,145924,2103,146044,320578,46.18 %,
17,PESHAWAR-I,NA-1,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45,145924,2103,146044,320578,46.18 %,
18,PESHAWAR-II,NA-2,Aasir Sheraz,Independent,61,141790,2408,142031,336122,43.45 %,
19,PESHAWAR-II,NA-2,Abdul Bari,Pakistan Muslim League (N),5159,141790,2408,142031,336122,43.45 %,
20,PESHAWAR-II,NA-2,Arbab Alamgir Khan,Pakistan Peoples Party Parliamentarians,10666,141790,2408,142031,336122,43.45 %,
21,PESHAWAR-II,NA-2,Arbab Najeeb Ullah Khan,Awami National Party,12137,141790,2408,142031,336122,43.45 %,
22,PESHAWAR-II,NA-2,Hamid Ul Haq,Pakistan Tehreek-e-Insaf,79125,141790,2408,142031,336122,43.45 %,
23,PESHAWAR-II,NA-2,Intizar Ali Khan Khalil,Independent,577,141790,2408,142031,336122,43.45 %,
24,PESHAWAR-II,NA-2,Iqtidar Ahmad Afridi,Independent,263,141790,2408,142031,336122,43.45 %,
25,PESHAWAR-II,NA-2,Ishaq Hussain,Independent,448,141790,2408,142031,336122,43.45 %,
26,PESHAWAR-II,NA-2,Khadim Hussain,Independent,162,141790,2408,142031,336122,43.45 %,
27,PESHAWAR-II,NA-2,Malik Haider Khan,Qaumi Watan Party (Sherpao),2242,141790,2408,142031,336122,43.45 %,
28,PESHAWAR-II,NA-2,Muhammad Atiq ur Rehman,Independent,419,141790,2408,142031,336122,43.45 %,
29,PESHAWAR-II,NA-2,Muhammad Ibrahim Khalil,Independent,156,141790,2408,142031,336122,43.45 %,
30,PESHAWAR-II,NA-2,Muhammad Iqbal Khalil,Jamaat-e-Islami Pakistan,8020,141790,2408,142031,336122,43.45 %,
31,PESHAWAR-II,NA-2,Muhammad Saeed Jan,Jamiat Ulama-e-Islam (F),18787,141790,2408,142031,336122,43.45 %,
32,PESHAWAR-II,NA-2,Qazi Saif Ullah Khan,MUTAHIDA DEENI MAHAZ,3477,141790,2408,142031,336122,43.45 %,
33,PESHAWAR-II,NA-2,Safeer Ullah,Independent,57,141790,2408,142031,336122,43.45 %,
34,PESHAWAR-II,NA-2,Saleem Khan,Independent,275,141790,2408,142031,336122,43.45 %,
35,PESHAWAR-III,NA-3,Arbab Inam Ullah Khan,Awami National Party,5902,173647,5276,177823,384086,46.30 %,
36,PESHAWAR-III,NA-3,Fiza Tariq,Independent,679,173647,5276,177823,384086,46.30 %,
37,PESHAWAR-III,NA-3,Haji Ghulam Ali,Jamiat Ulama-e-Islam (F),27987,173647,5276,177823,384086,46.30 %,
