Name of Political Party,Symbol,Acronym
Aam Admi Tehreek Pakistan,Mug,AATP
Aam Awam Party,Wheat Bunch,AAP
Aam Log Party Pakistan,Hut,ALPP
All Pakistan Minority Movement Pakistan,Giraffe,APMMP
All Pakistan Muslim League,Eagle,APML
All Pakistan Muslim League (Jinnah),Bicycle,APMLJ
All Pakistan Tehreek,Boat,APT
Allah-O-Akbar Tehreek,Chair,AOAT
Amun Taraqqi Party,Tyre,ATP
Awam League,Human Hand,AL
Awami Justice Party Pakistan,Tumbler,AJPP
Awami Muslim League Pakistan,Ink pot with Pen,AMLP
Awami National Party,Lantern,ANP
Awami Party Pakistan-S,Aeroplane,APPS
Awami Workers Party,Bulb,AWP
Balochistan Awami Party,Cow,BAP
Balochistan National Movement,Sickle,BNM
Balochistan National Party,Axe,BNP
Balochistan National Party(Awami),Camel,BNPA
Barabri Party Pakistan,Gate,BPP
Front National Pakistan,Unity,FNP
Grand Democratic Alliance,Star,GDA
Hazara Democratic Party,Crescent,HDP
Humdardan-e-Watan Pakistan,Coat,HWP
Islami Jamhoori Ittehad Pakistan,Football,IJIP
Islami Tehreek Pakistan,Two Sword,ITP
Ittehad-e-Ummat Pakistan,Energy Saver,IUP
Jamat-e-Islami Pakistan,Scale,JIP
Jamhoori Watan Party,Wheel,JWP
Jamiat Ulama-e-Islam Nazaryati Pakistan,Takhti,JUINP
Jamiat Ulama-e-Islam(F),Pen,JUIF
Jamiat Ulema-e-Pakistan (Noorani),Key,JUPN
Jamiyat Ulma-e-Islam Pakistan(S),Ladder,JUIPS
Jamote Qaumi Movement,Electric Pol,JQM
Jannat Pakistan Party,Fountain,JPP
Majlis Wahdat-e-Muslimeen Pakistan,Tent,MWMP
Markazi Jamiat Ahl-e-Hadith,Spectacles,MJAH
Mohajir Qaumi Movement (Pakistan),Candle,MQMP
Move on Pakistan,Ostrich,MOP
Muhib-e-Watan Noujawan Anqlabion Ki Anjuman (MNAKA),Cap,MWNAKAM
Mustaqbil Pakistan,Comb,MP
Mutahida Majlis-e-Amal Pakistan,Book,MMAP
Mutahidda Ulema Mashaikh Council of Pakistan,Combat Aircraft,MUMCOP
Mutahiddia Qabail Party,Turban,MQP
Mutihida League,Bear,ML
Muttahida Qaumi Movement Pakistan,Kite,MQMP
National Party,Saw,NP
National Peace Council Party,Swallow,NPCP
Pak Sarzameen Party,Dolphin,PSP
Pakhtoonkhwa Milli Awami Party,Tree,PMAP
Pakistan Aman Party,Dove,PAP
Pakistan Aman Tehreek,Missile,PAT
Pakistan Awami Inqelabi League,Trophy,PAIL
Pakistan Awami League,Hockey,PAL
Pakistan Awami Raj,Jharoo,PAR
